Profit,Params
608.1412079944395,"[10, 0.05, 10, 10, 1, 3, 0]"
51.106294280219885,"[10, 0.05, 10, 10, 1, 5, 0]"
418.1825322888937,"[10, 0.05, 10, 10, 1, 8, 0]"
477.6843709779303,"[10, 0.05, 10, 10, 3, 3, 0]"
105.9266406005662,"[10, 0.05, 10, 10, 3, 5, 0]"
305.63415451132795,"[10, 0.05, 10, 10, 3, 8, 0]"
493.3812792795947,"[10, 0.05, 10, 10, 5, 3, 0]"
66.18854536247086,"[10, 0.05, 10, 10, 5, 5, 0]"
296.4212235493241,"[10, 0.05, 10, 10, 5, 8, 0]"
501.9126473754955,"[10, 0.05, 10, 10, 10, 3, 0]"
128.8703635442891,"[10, 0.05, 10, 10, 10, 5, 0]"
350.1934046481642,"[10, 0.05, 10, 10, 10, 8, 0]"
483.32843081614305,"[10, 0.05, 10, 100, 1, 3, 0]"
133.03556393529587,"[10, 0.05, 10, 100, 1, 5, 0]"
336.10517403819443,"[10, 0.05, 10, 100, 1, 8, 0]"
553.9838261966746,"[10, 0.05, 10, 100, 3, 3, 0]"
192.25138207598212,"[10, 0.05, 10, 100, 3, 5, 0]"
32.372129305149784,"[10, 0.05, 10, 100, 3, 8, 0]"
673.4070527924338,"[10, 0.05, 10, 100, 5, 3, 0]"
139.4720951460206,"[10, 0.05, 10, 100, 5, 5, 0]"
340.4637174555613,"[10, 0.05, 10, 100, 5, 8, 0]"
675.1116471228345,"[10, 0.05, 10, 100, 10, 3, 0]"
60.534101766850824,"[10, 0.05, 10, 100, 10, 5, 0]"
216.92475662951608,"[10, 0.05, 10, 100, 10, 8, 0]"
316.58455412811355,"[10, 0.05, 10, 500, 1, 3, 0]"
143.10553033827944,"[10, 0.05, 10, 500, 1, 5, 0]"
199.58320325535405,"[10, 0.05, 10, 500, 1, 8, 0]"
575.9309349341665,"[10, 0.05, 10, 500, 3, 3, 0]"
141.17995350455362,"[10, 0.05, 10, 500, 3, 5, 0]"
409.0588777418982,"[10, 0.05, 10, 500, 3, 8, 0]"
702.8925995037869,"[10, 0.05, 10, 500, 5, 3, 0]"
64.10553033827938,"[10, 0.05, 10, 500, 5, 5, 0]"
195.97573184296272,"[10, 0.05, 10, 500, 5, 8, 0]"
520.7097738371989,"[10, 0.05, 10, 500, 10, 3, 0]"
-14.92833775441214,"[10, 0.05, 10, 500, 10, 5, 0]"
225.19241811456888,"[10, 0.05, 10, 500, 10, 8, 0]"
505.5423707851369,"[10, 0.05, 10, 1000, 1, 3, 0]"
18.688545362470897,"[10, 0.05, 10, 1000, 1, 5, 0]"
256.5474889696398,"[10, 0.05, 10, 1000, 1, 8, 0]"
747.9624867157183,"[10, 0.05, 10, 1000, 3, 3, 0]"
104.3674351001842,"[10, 0.05, 10, 1000, 3, 5, 0]"
256.2765810911805,"[10, 0.05, 10, 1000, 3, 8, 0]"
477.09721972464433,"[10, 0.05, 10, 1000, 5, 3, 0]"
142.1142969388971,"[10, 0.05, 10, 1000, 5, 5, 0]"
203.4496628826832,"[10, 0.05, 10, 1000, 5, 8, 0]"
327.55760046162504,"[10, 0.05, 10, 1000, 10, 3, 0]"
75.75997393389942,"[10, 0.05, 10, 1000, 10, 5, 0]"
282.5862617910214,"[10, 0.05, 10, 1000, 10, 8, 0]"
984.1786072613564,"[10, 0.1, 1, 10, 1, 3, 0]"
814.6547977375469,"[10, 0.1, 1, 10, 1, 5, 0]"
916.4307440134932,"[10, 0.1, 1, 10, 1, 8, 0]"
984.1786072613564,"[10, 0.1, 1, 10, 3, 3, 0]"
814.6547977375469,"[10, 0.1, 1, 10, 3, 5, 0]"
916.4307440134932,"[10, 0.1, 1, 10, 3, 8, 0]"
984.1786072613564,"[10, 0.1, 1, 10, 5, 3, 0]"
814.6547977375469,"[10, 0.1, 1, 10, 5, 5, 0]"
916.4307440134932,"[10, 0.1, 1, 10, 5, 8, 0]"
984.1786072613564,"[10, 0.1, 1, 10, 10, 3, 0]"
814.6547977375469,"[10, 0.1, 1, 10, 10, 5, 0]"
916.4307440134932,"[10, 0.1, 1, 10, 10, 8, 0]"
984.1786072613564,"[10, 0.1, 1, 100, 1, 3, 0]"
814.6547977375469,"[10, 0.1, 1, 100, 1, 5, 0]"
916.4307440134932,"[10, 0.1, 1, 100, 1, 8, 0]"
984.1786072613564,"[10, 0.1, 1, 100, 3, 3, 0]"
